applicant_id,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
1,<0,6,critical/other existing credit,radio/tv,4,none,none,2,good
2,0<=X<200,48,existing paid,radio/tv,2,none,none,1,bad
3,no checking,12,critical/other existing credit,education,2,none,none,1,good
4,<0,42,existing paid,furniture/equipment,2,guarantor,none,1,good
5,<0,24,delayed previously,new car,3,none,none,2,bad
6,no checking,36,existing paid,education,2,none,none,1,good
7,no checking,24,existing paid,furniture/equipment,3,none,none,1,good
8,0<=X<200,36,existing paid,used car,2,none,none,1,good
9,no checking,12,existing paid,radio/tv,2,none,none,1,good
10,0<=X<200,30,critical/other existing credit,new car,4,none,none,2,bad
11,0<=X<200,12,existing paid,new car,3,none,none,1,bad
12,<0,48,existing paid,business,3,none,none,1,bad
13,0<=X<200,12,existing paid,radio/tv,1,none,none,1,good
14,<0,24,critical/other existing credit,new car,4,none,none,2,bad
15,<0,15,existing paid,new car,2,none,none,1,good
16,<0,24,existing paid,radio/tv,4,none,none,1,bad
17,no checking,24,critical/other existing credit,radio/tv,4,none,none,2,good
18,<0,30,no credits/all paid,business,2,none,bank,3,good
19,0<=X<200,24,existing paid,used car,4,none,none,1,bad
20,no checking,24,existing paid,radio/tv,3,none,none,1,good
21,no checking,9,critical/other existing credit,new car,4,none,none,3,good
22,<0,6,existing paid,radio/tv,2,none,none,1,good
23,<0,10,critical/other existing credit,new car,1,none,none,2,good
24,0<=X<200,12,critical/other existing credit,used car,3,none,none,1,good
25,no checking,10,critical/other existing credit,furniture/equipment,2,none,none,2,good
26,<0,6,existing paid,furniture/equipment,1,none,bank,1,good
27,no checking,6,no credits/all paid,radio/tv,4,none,none,1,good
28,>=200,12,all paid,radio/tv,3,none,none,2,good
29,0<=X<200,7,existing paid,radio/tv,3,guarantor,none,1,good
30,<0,60,delayed previously,business,3,none,none,2,bad
31,0<=X<200,18,existing paid,business,3,none,bank,1,good
32,<0,24,existing paid,furniture/equipment,2,none,stores,1,good
33,0<=X<200,18,existing paid,new car,2,none,none,2,good
34,no checking,12,critical/other existing credit,business,4,none,none,1,good
35,>=200,12,existing paid,furniture/equipment,4,none,bank,1,good
36,0<=X<200,45,critical/other existing credit,radio/tv,4,none,none,2,bad
37,no checking,48,critical/other existing credit,education,1,none,bank,1,good
38,>=200,18,existing paid,radio/tv,4,co applicant,stores,1,bad
39,>=200,10,existing paid,domestic appliance,2,none,none,1,good
40,0<=X<200,9,existing paid,radio/tv,4,none,none,1,good
41,no checking,30,existing paid,radio/tv,4,none,bank,1,good
42,0<=X<200,12,existing paid,radio/tv,3,none,none,1,good
43,0<=X<200,18,delayed previously,repairs,2,none,none,1,good
44,<0,30,critical/other existing credit,used car,1,none,none,2,good
45,<0,48,critical/other existing credit,used car,4,none,stores,2,bad
46,no checking,11,critical/other existing credit,new car,4,none,none,2,good
47,no checking,36,existing paid,radio/tv,4,none,none,1,good
48,<0,6,existing paid,used car,1,none,none,1,good
49,no checking,11,critical/other existing credit,new car,1,none,none,2,good
50,no checking,12,existing paid,radio/tv,4,co applicant,none,1,good
51,0<=X<200,24,delayed previously,furniture/equipment,4,none,bank,1,good
52,0<=X<200,27,delayed previously,used car,1,none,none,2,good
53,no checking,12,existing paid,radio/tv,3,none,none,1,good
54,no checking,18,existing paid,used car,2,none,none,1,good
55,0<=X<200,36,delayed previously,new car,4,none,bank,2,bad
56,no checking,6,all paid,new car,1,guarantor,stores,1,good
57,0<=X<200,12,existing paid,radio/tv,2,none,none,1,bad
58,no checking,36,critical/other existing credit,radio/tv,2,none,stores,2,good
59,>=200,18,existing paid,new car,3,none,none,1,good
60,<0,36,critical/other existing credit,furniture/equipment,4,co applicant,none,2,bad
61,0<=X<200,9,existing paid,business,2,none,bank,1,good
62,0<=X<200,15,critical/other existing credit,radio/tv,4,guarantor,none,2,good
63,0<=X<200,36,no credits/all paid,business,4,none,none,1,bad
64,0<=X<200,48,no credits/all paid,business,2,none,none,1,bad
65,no checking,24,existing paid,radio/tv,4,none,none,1,good
66,no checking,27,existing paid,repairs,4,none,none,4,good
67,no checking,12,existing paid,radio/tv,2,none,bank,1,good
68,0<=X<200,12,existing paid,new car,4,none,none,1,good
69,no checking,36,existing paid,education,4,none,stores,1,bad
70,no checking,36,existing paid,radio/tv,4,none,none,1,good
71,no checking,36,existing paid,used car,1,none,bank,1,good
72,no checking,7,critical/other existing credit,radio/tv,4,none,none,2,good
73,<0,8,critical/other existing credit,other,3,none,bank,2,good
74,0<=X<200,42,critical/other existing credit,business,2,none,bank,2,good
75,<0,36,existing paid,education,4,none,none,1,bad
76,<0,12,critical/other existing credit,used car,4,none,none,2,good
77,<0,42,existing paid,radio/tv,4,none,none,1,bad
78,0<=X<200,11,delayed previously,radio/tv,2,none,none,1,good
79,no checking,54,no credits/all paid,used car,2,none,none,1,good
80,0<=X<200,30,existing paid,furniture/equipment,2,none,none,1,good
81,no checking,24,existing paid,radio/tv,1,none,none,2,bad
82,no checking,15,existing paid,radio/tv,4,none,stores,1,good
