applicant_id,credit_amount,age,sex,marital_status,previous_delay,job,employment,savings_status,housing,residence_since,property_magnitude,num_dependents,own_telephone,foreign_worker,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
1,1169,67,male,single,TRUE,skilled,>=7,no known savings,own,4,real estate,1,yes,yes,<0,6,critical/other existing credit,radio/tv,4,none,none,2,good
2,5951,22,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,0<=X<200,48,existing paid,radio/tv,2,none,none,1,bad
3,2096,49,male,single,TRUE,unskilled resident,4<=X<7,<100,own,3,real estate,2,none,yes,no checking,12,critical/other existing credit,education,2,none,none,1,good
4,7882,45,male,single,FALSE,skilled,4<=X<7,<100,for free,4,life insurance,2,none,yes,<0,42,existing paid,furniture/equipment,2,guarantor,none,1,good
5,4870,53,male,single,TRUE,skilled,1<=X<4,<100,for free,4,no known property,2,none,yes,<0,24,delayed previously,new car,3,none,none,2,bad
6,9055,35,male,single,FALSE,unskilled resident,1<=X<4,no known savings,for free,4,no known property,2,yes,yes,no checking,36,existing paid,education,2,none,none,1,good
7,2835,53,male,single,FALSE,skilled,>=7,500<=X<1000,own,4,life insurance,1,none,yes,no checking,24,existing paid,furniture/equipment,3,none,none,1,good
8,6948,35,male,single,FALSE,high qualif/self emp/mgmt,1<=X<4,<100,rent,2,car,1,yes,yes,0<=X<200,36,existing paid,used car,2,none,none,1,good
9,3059,61,male,div/sep/mar/wid,FALSE,unskilled resident,4<=X<7,>=1000,own,4,real estate,1,none,yes,no checking,12,existing paid,radio/tv,2,none,none,1,good
10,5234,28,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,unemployed,<100,own,2,car,1,none,yes,0<=X<200,30,critical/other existing credit,new car,4,none,none,2,bad
11,1295,25,female,div/sep/mar/wid,FALSE,skilled,<1,<100,rent,1,car,1,none,yes,0<=X<200,12,existing paid,new car,3,none,none,1,bad
12,4308,24,female,div/sep/mar/wid,FALSE,skilled,<1,<100,rent,4,life insurance,1,none,yes,<0,48,existing paid,business,3,none,none,1,bad
13,1567,22,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,1,car,1,yes,yes,0<=X<200,12,existing paid,radio/tv,1,none,none,1,good
14,1199,60,male,single,TRUE,unskilled resident,>=7,<100,own,4,car,1,none,yes,<0,24,critical/other existing credit,new car,4,none,none,2,bad
15,1403,28,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,rent,4,car,1,none,yes,<0,15,existing paid,new car,2,none,none,1,good
16,1282,32,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,100<=X<500,own,2,car,1,none,yes,<0,24,existing paid,radio/tv,4,none,none,1,bad
17,2424,53,male,single,TRUE,skilled,>=7,no known savings,own,4,life insurance,1,none,yes,no checking,24,critical/other existing credit,radio/tv,4,none,none,2,good
18,8072,25,male,single,FALSE,skilled,<1,no known savings,own,3,car,1,none,yes,<0,30,no credits/all paid,business,2,none,bank,3,good
19,12579,44,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,>=7,<100,for free,2,no known property,1,yes,yes,0<=X<200,24,existing paid,used car,4,none,none,1,bad
20,3430,31,male,single,FALSE,skilled,>=7,500<=X<1000,own,2,car,2,yes,yes,no checking,24,existing paid,radio/tv,3,none,none,1,good
21,2134,48,male,single,TRUE,skilled,1<=X<4,<100,own,4,car,1,yes,yes,no checking,9,critical/other existing credit,new car,4,none,none,3,good
22,2647,44,male,single,FALSE,skilled,1<=X<4,500<=X<1000,rent,3,real estate,2,none,yes,<0,6,existing paid,radio/tv,2,none,none,1,good
23,2241,48,male,single,TRUE,unskilled resident,<1,<100,rent,3,real estate,2,none,no,<0,10,critical/other existing credit,new car,1,none,none,2,good
24,1804,44,male,single,TRUE,skilled,<1,100<=X<500,own,4,life insurance,1,none,yes,0<=X<200,12,critical/other existing credit,used car,3,none,none,1,good
25,2069,26,male,div/sep/mar/wid,TRUE,skilled,1<=X<4,no known savings,own,1,car,1,none,no,no checking,10,critical/other existing credit,furniture/equipment,2,none,none,2,good
26,1374,36,male,single,FALSE,unskilled resident,1<=X<4,<100,own,2,real estate,1,yes,yes,<0,6,existing paid,furniture/equipment,1,none,bank,1,good
27,426,39,male,div/sep/mar/wid,FALSE,unskilled resident,>=7,<100,own,4,car,1,none,yes,no checking,6,no credits/all paid,radio/tv,4,none,none,1,good
28,409,42,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,>=1000,rent,3,real estate,1,none,yes,>=200,12,all paid,radio/tv,3,none,none,2,good
29,2415,34,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,0<=X<200,7,existing paid,radio/tv,3,guarantor,none,1,good
30,6836,63,male,single,TRUE,skilled,>=7,<100,own,4,no known property,1,yes,yes,<0,60,delayed previously,business,3,none,none,2,bad
31,1913,36,male,div/sep/mar/wid,FALSE,skilled,<1,>=1000,own,3,real estate,1,yes,yes,0<=X<200,18,existing paid,business,3,none,bank,1,good
32,4020,27,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,<0,24,existing paid,furniture/equipment,2,none,stores,1,good
33,5866,30,male,single,FALSE,skilled,1<=X<4,100<=X<500,own,2,car,1,yes,yes,0<=X<200,18,existing paid,new car,2,none,none,2,good
34,1264,57,male,single,TRUE,unskilled resident,>=7,no known savings,rent,4,no known property,1,none,yes,no checking,12,critical/other existing credit,business,4,none,none,1,good
35,1474,33,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,<1,<100,own,1,life insurance,1,yes,yes,>=200,12,existing paid,furniture/equipment,4,none,bank,1,good
36,4746,25,male,single,TRUE,unskilled resident,<1,<100,own,2,life insurance,1,none,yes,0<=X<200,45,critical/other existing credit,radio/tv,4,none,none,2,bad
37,6110,31,male,single,TRUE,skilled,1<=X<4,<100,for free,3,no known property,1,yes,yes,no checking,48,critical/other existing credit,education,1,none,bank,1,good
38,2100,37,male,single,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,>=200,18,existing paid,radio/tv,4,co applicant,stores,1,bad
39,1225,37,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,yes,yes,>=200,10,existing paid,domestic appliance,2,none,none,1,good
40,458,24,male,single,FALSE,skilled,1<=X<4,<100,own,3,real estate,1,none,yes,0<=X<200,9,existing paid,radio/tv,4,none,none,1,good
41,2333,30,male,single,FALSE,high qualif/self emp/mgmt,>=7,500<=X<1000,own,2,car,1,none,yes,no checking,30,existing paid,radio/tv,4,none,bank,1,good
42,1158,26,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,500<=X<1000,own,1,car,1,yes,yes,0<=X<200,12,existing paid,radio/tv,3,none,none,1,good
43,6204,44,male,single,TRUE,unskilled resident,1<=X<4,<100,own,4,real estate,2,yes,yes,0<=X<200,18,delayed previously,repairs,2,none,none,1,good
44,6187,24,male,div/sep/mar/wid,TRUE,skilled,4<=X<7,100<=X<500,rent,4,car,1,none,yes,<0,30,critical/other existing credit,used car,1,none,none,2,good
45,6143,58,female,div/sep/mar/wid,TRUE,unskilled resident,>=7,<100,for free,4,no known property,1,none,yes,<0,48,critical/other existing credit,used car,4,none,stores,2,bad
46,1393,35,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,<1,<100,own,4,car,1,none,yes,no checking,11,critical/other existing credit,new car,4,none,none,2,good
47,2299,39,male,single,FALSE,skilled,>=7,500<=X<1000,own,4,car,1,none,yes,no checking,36,existing paid,radio/tv,4,none,none,1,good
48,1352,23,female,div/sep/mar/wid,FALSE,unemp/unskilled non res,unemployed,500<=X<1000,rent,2,life insurance,1,yes,yes,<0,6,existing paid,used car,1,none,none,1,good
49,7228,39,male,single,TRUE,unskilled resident,1<=X<4,<100,own,4,life insurance,1,none,yes,no checking,11,critical/other existing credit,new car,1,none,none,2,good
50,2073,28,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,100<=X<500,own,2,real estate,1,none,yes,no checking,12,existing paid,radio/tv,4,co applicant,none,1,good
51,2333,29,male,single,TRUE,unskilled resident,<1,no known savings,own,2,life insurance,1,none,yes,0<=X<200,24,delayed previously,furniture/equipment,4,none,bank,1,good
52,5965,30,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,own,2,car,1,yes,yes,0<=X<200,27,delayed previously,used car,1,none,none,2,good
53,1262,25,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,no checking,12,existing paid,radio/tv,3,none,none,1,good
54,3378,31,male,single,FALSE,skilled,1<=X<4,no known savings,own,1,life insurance,1,yes,yes,no checking,18,existing paid,used car,2,none,none,1,good
55,2225,57,male,single,TRUE,skilled,>=7,<100,for free,4,no known property,1,yes,yes,0<=X<200,36,delayed previously,new car,4,none,bank,2,bad
56,783,26,male,single,FALSE,unskilled resident,1<=X<4,no known savings,own,2,real estate,2,none,yes,no checking,6,all paid,new car,1,guarantor,stores,1,good
